Ontvangen om 22.11.24-22:01:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.875000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:02:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.914062, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:03:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.953125, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:04:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6710.993164, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:05:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.033203, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.627930

Ontvangen om 22.11.24-22:06:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.073242, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:07:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.113770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:08:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.155762, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:09:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.196777, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.667969

Ontvangen om 22.11.24-22:10:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.237793, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:11:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.279785, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:12:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.319824, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:13:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.360840, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:14:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.401855, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:15:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.441895, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:16:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.479980, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:17:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.488770, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:18:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.500000, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:19:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.512207, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.855957

Ontvangen om 22.11.24-22:20:00 - Totaal dagverbruik: 6385.592773, Totaal nachtverbruik: 6711.523926, Totale dagopbrengst: 300.584015, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6225.891113

Ontvangen om 00.00.00-00:00:00 - Totaal dagverbruik: 0000, Totaal nachtverbruik: 000000, Totale dagopbrengst: 0000.000000, Totale nachtopbrengst: 000.000000, Totaal gasverbruik: 0.000000

Ontvangen om 20.11.24-20:30:00 - Totaal dagverbruik: 6351.401855, Totaal nachtverbruik: 6683.149902, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6198.240234

Ontvangen om 20.11.24-20:40:00 - Totaal dagverbruik: 6351.497070, Totaal nachtverbruik: 6683.149902, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6198.470215

Ontvangen om 20.11.24-20:50:00 - Totaal dagverbruik: 6351.583984, Totaal nachtverbruik: 6683.149902, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6198.470215

Ontvangen om 20.11.24-21:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.149902, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6198.470215

Ontvangen om 20.11.24-21:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.252930, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6198.859863

Ontvangen om 20.11.24-21:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.353027, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-21:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.433105, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-21:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.516113, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-21:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.602051, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.699219, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.791016, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.842773, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.878906, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.919922, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-22:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.951172, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6683.991211, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.027832, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.073242, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.119141, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.154785, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 20.11.24-23:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.182129, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.212891, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.255859, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.290039, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.326172, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.359863, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-00:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.393066, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.432129, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.459961, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.490234, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.523926, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.559082, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-01:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.604980, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.645020, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.676758, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.703125, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.732910, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.778809, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-02:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.812012, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.847168, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.882812, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.910156, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.946777, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6684.979004, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-03:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.014160, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-04:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.047852, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-04:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.083984, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-04:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.125977, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-04:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.161133, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.275879

Ontvangen om 21.11.24-04:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.198242, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.334961

Ontvangen om 21.11.24-04:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6685.491211, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6199.831055

Ontvangen om 21.11.24-05:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6686.269043, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6200.282227

Ontvangen om 21.11.24-05:10:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6687.046875, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6200.942871

Ontvangen om 21.11.24-05:20:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6687.827148, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6201.082031

Ontvangen om 21.11.24-05:30:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6688.595215, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6201.136230

Ontvangen om 21.11.24-05:40:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6689.362793, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6201.596191

Ontvangen om 21.11.24-05:50:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6690.134766, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.014160

Ontvangen om 21.11.24-06:00:00 - Totaal dagverbruik: 6351.672852, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.257812

Ontvangen om 21.11.24-06:10:00 - Totaal dagverbruik: 6352.436035, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.481934

Ontvangen om 21.11.24-06:20:00 - Totaal dagverbruik: 6352.541016, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.481934

Ontvangen om 21.11.24-06:30:00 - Totaal dagverbruik: 6352.581055, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.481934

Ontvangen om 21.11.24-06:40:00 - Totaal dagverbruik: 6352.637207, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6202.848145

Ontvangen om 21.11.24-06:50:00 - Totaal dagverbruik: 6352.688965, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6203.250977

Ontvangen om 21.11.24-07:00:00 - Totaal dagverbruik: 6352.878906, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6203.400879

Ontvangen om 21.11.24-07:10:00 - Totaal dagverbruik: 6353.646973, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6203.400879

Ontvangen om 21.11.24-07:20:00 - Totaal dagverbruik: 6354.496094, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6203.540039

Ontvangen om 21.11.24-07:30:00 - Totaal dagverbruik: 6354.946777, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6203.625977

Ontvangen om 21.11.24-07:40:00 - Totaal dagverbruik: 6355.029785, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.047852

Ontvangen om 21.11.24-07:50:00 - Totaal dagverbruik: 6355.104980, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:00:00 - Totaal dagverbruik: 6355.158203, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:10:00 - Totaal dagverbruik: 6355.191895, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:20:00 - Totaal dagverbruik: 6355.279785, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:30:00 - Totaal dagverbruik: 6355.637207, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:40:00 - Totaal dagverbruik: 6355.785156, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.490234

Ontvangen om 21.11.24-08:50:00 - Totaal dagverbruik: 6355.840820, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.491211

Ontvangen om 21.11.24-09:00:00 - Totaal dagverbruik: 6355.893066, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.491211

Ontvangen om 21.11.24-09:10:00 - Totaal dagverbruik: 6355.939941, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.491211

Ontvangen om 21.11.24-09:20:00 - Totaal dagverbruik: 6356.008789, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.491211

Ontvangen om 21.11.24-09:30:00 - Totaal dagverbruik: 6356.193848, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-09:40:00 - Totaal dagverbruik: 6356.226074, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-09:50:00 - Totaal dagverbruik: 6356.257812, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:00:00 - Totaal dagverbruik: 6356.290039, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:10:00 - Totaal dagverbruik: 6356.317871, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:20:00 - Totaal dagverbruik: 6356.351074, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:30:00 - Totaal dagverbruik: 6356.371094, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:40:00 - Totaal dagverbruik: 6356.396973, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-10:50:00 - Totaal dagverbruik: 6356.419922, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-11:00:00 - Totaal dagverbruik: 6356.451172, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-11:10:00 - Totaal dagverbruik: 6356.486816, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-11:20:00 - Totaal dagverbruik: 6356.516113, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.730957

Ontvangen om 21.11.24-11:30:00 - Totaal dagverbruik: 6356.555176, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6204.976074

Ontvangen om 21.11.24-11:40:00 - Totaal dagverbruik: 6356.578125, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.442871

Ontvangen om 21.11.24-11:50:00 - Totaal dagverbruik: 6356.597168, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:00:00 - Totaal dagverbruik: 6356.626953, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:10:00 - Totaal dagverbruik: 6356.642090, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:20:00 - Totaal dagverbruik: 6356.654785, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:30:00 - Totaal dagverbruik: 6356.666016, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:40:00 - Totaal dagverbruik: 6356.675781, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-12:50:00 - Totaal dagverbruik: 6356.694824, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-13:00:00 - Totaal dagverbruik: 6356.695801, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-13:10:00 - Totaal dagverbruik: 6356.704102, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.751007, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6205.560059

Ontvangen om 21.11.24-13:20:00 - Totaal dagverbruik: 6356.704102, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.755005, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6206.150879

Ontvangen om 21.11.24-13:30:00 - Totaal dagverbruik: 6356.704102, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.781006, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6206.387207

Ontvangen om 21.11.24-13:40:00 - Totaal dagverbruik: 6356.704102, Totaal nachtverbruik: 6690.916992, Totale dagopbrengst: 299.804993, Totale nachtopbrengst: 146.751999, Totaal gasverbruik: 6206.537109

